"","City","State","Location","count","lon","lat","state_group","job_concentration","avg_lon_weighted","avg_lat_weighted","dist"
"1","San Francisco","CA","San Francisco, CA",435,-122.4194155,37.7749295,"CA",0.489864864864865,-122.360779220946,37.7078784279279,5.64016047880853
"2","New York","NY","New York, NY",420,-74.0059728,40.7127753,"NY",0.466666666666667,-73.9720032966667,40.73264356,2.24989704306768
"3","Washington","DC","Washington, DC",194,-77.0368707,38.9071923,"DC",0.217977528089888,-77.1325625479775,38.937481625618,5.56070825948646
"4","Austin","TX","Austin, TX",175,-97.7430608,30.267153,"TX",0.274725274725275,-97.0156526846154,31.1728838894819,76.1472170503168
"5","South San Francisco","CA","South San Francisco, CA",169,-122.4077498,37.654656,"CA",0.190315315315315,-122.360779220946,37.7078784279279,4.49146911925776
"6","Dallas","TX","Dallas, TX",102,-96.7969879,32.7766642,"TX",0.160125588697017,-97.0156526846154,31.1728838894819,111.697920162603
"7","Arlington","VA","Arlington, VA",96,-77.1067698,38.8799697,"DC",0.107865168539326,-77.1325625479775,38.937481625618,4.21432862726516
"8","Houston","TX","Houston, TX",90,-95.3698028,29.7604267,"TX",0.141287284144427,-97.0156526846154,31.1728838894819,138.495724453274
"9","McLean","VA","McLean, VA",68,-77.1772604,38.9338676,"DC",0.0764044943820225,-77.1325625479775,38.937481625618,2.41842392118198
"10","Brooklyn","NY","Brooklyn, NY",60,-73.9441579,40.6781784,"NY",0.0666666666666667,-73.9720032966667,40.73264356,4.04130848033849
"11","Rego Park","NY","Rego Park, NY",60,-73.8624893,40.7255722,"NY",0.0666666666666667,-73.9720032966667,40.73264356,5.76251298862816
"12","Staten Island","NY","Staten Island, NY",60,-74.1502007,40.5795317,"NY",0.0666666666666667,-73.9720032966667,40.73264356,14.1312345646994
"13","Irving","TX","Irving, TX",58,-96.9488945,32.8140177,"TX",0.0910518053375196,-97.0156526846154,31.1728838894819,113.610224737709
"14","Springfield","VA","Springfield, VA",58,-77.1872036,38.7892801,"DC",0.0651685393258427,-77.1325625479775,38.937481625618,10.6675551203489
"15","Chantilly","VA","Chantilly, VA",54,-77.4310992,38.8942786,"DC",0.0606741573033708,-77.1325625479775,38.937481625618,16.3461571758873
"16","San Antonio","TX","San Antonio, TX",53,-98.4936282,29.4241219,"TX",0.0832025117739403,-97.0156526846154,31.1728838894819,149.772064399997
"17","Gaithersburg","MD","Gaithersburg, MD",49,-77.2016062,39.1439689,"DC",0.0550561797752809,-77.1325625479775,38.937481625618,14.759840840234
"18","Rockville","MD","Rockville, MD",48,-77.1527578,39.0839973,"DC",0.0539325842696629,-77.1325625479775,38.937481625618,10.1947359770576
"19","Alexandria","VA","Alexandria, VA",46,-77.0469214,38.8048355,"DC",0.051685393258427,-77.1325625479775,38.937481625618,10.2713742957609
"20","Reston","VA","Reston, VA",45,-77.3570028,38.9586307,"DC",0.050561797752809,-77.1325625479775,38.937481625618,12.164704850255
"21","Plano","TX","Plano, TX",43,-96.6988856,33.0198431,"TX",0.0675039246467818,-97.0156526846154,31.1728838894819,129.124283043055
"22","Menlo Park","CA","Menlo Park, CA",40,-122.1817252,37.4529598,"CA",0.045045045045045,-122.360779220946,37.7078784279279,20.1849859697555
"23","San Mateo","CA","San Mateo, CA",33,-122.3255254,37.5629917,"CA",0.0371621621621622,-122.360779220946,37.7078784279279,10.2084563503523
"24","Berkeley","CA","Berkeley, CA",31,-122.273042,37.8715226,"CA",0.0349099099099099,-122.360779220946,37.7078784279279,12.2961247938566
"25","Silver Spring","MD","Silver Spring, MD",31,-77.026088,38.9906657,"DC",0.0348314606741573,-77.1325625479775,38.937481625618,6.80781238318086
"26","Bronx","NY","Bronx, NY",30,-73.8648268,40.8447819,"NY",0.0333333333333333,-73.9720032966667,40.73264356,9.57654776337273
